Question,Answer1,Points1,Answer2,Points2,Answer3,Points3,Answer4,Points4,Answer5,Points5
Name something people do while waiting in line.,Check phone,42,Talk,28,Read,15,Fidget,10,People watch,5
Name a reason someone might call a friend late at night.,Emergency,38,Can't sleep,28,Need to vent,18,Exciting news,12,Forgot time zones,4
Name something you might find at a picnic.,Sandwiches,40,Blanket,30,Drinks,15,Ants,10,Basket,5
Name a reason someone might wear sunglasses indoors.,Celebrity hiding,35,Hangover,28,Eye surgery,20,Looks cool,12,Light sensitivity,5
Name something people do to prepare for a job interview.,Research company,40,Pick outfit,30,Practice answers,18,Print resume,9,Get haircut,3
Name a place where you have to be quiet.,Library,45,Movie theater,28,Church,15,Hospital,9,Baby's room,3
Name something people buy at a convenience store.,Snacks,40,Drinks,32,Lottery tickets,15,Cigarettes,10,Gas,3
Name a reason someone might be crying happy tears.,Wedding,38,Birth of child,30,Graduation,18,Reunion,10,Won something,4
Name something you might find in a hotel room.,Bed,42,TV,30,Bible,15,Mini fridge,10,Towels,3
Name a profession where you wear a uniform.,Police officer,40,Nurse,28,Firefighter,18,Soldier,10,Chef,4
Name something people do on their lunch break.,Eat,48,Check phone,25,Take a walk,15,Run errands,9,Nap,3
Name a reason someone might go to the hospital.,Emergency,40,Giving birth,30,Surgery,18,Visit someone,9,Check up,3
Name something you might see at an airport.,Planes,45,Luggage,28,Security,15,Travelers,9,Shops,3
Name a reason someone might not answer their door.,Not home,40,Sleeping,28,In shower,18,Suspicious,10,Busy,4
Name something people take to the beach.,Towel,42,Sunscreen,30,Chair,15,Umbrella,10,Cooler,3
Name a reason someone might be walking slowly.,Injured,38,Old age,28,On phone,18,Window shopping,12,Tired,4
Name something you might find in a vending machine.,Chips,42,Candy,30,Soda,15,Water,10,Snacks,3
Name a holiday where people give gifts.,Christmas,48,Birthday,28,Valentine's Day,14,Hanukkah,7,Mother's Day,3
Name something people do at a barbecue.,Eat,45,Grill,30,Drink,15,Socialize,7,Play games,3
Name a reason someone might honk their car horn.,Traffic,40,Saying hi,28,Danger warning,18,Road rage,10,Lock car,4
Name something you might find in a teenager's room.,Phone,42,Clothes on floor,28,Posters,15,Video games,10,Mess,5
Name a reason someone might take a day off work.,Sick,42,Vacation,28,Appointment,18,Mental health,9,Family emergency,3
Name something people do at a coffee shop.,Drink coffee,48,Work,28,Meet friends,14,Read,7,Eat,3
Name a reason someone might get a speeding ticket.,Going too fast,45,Late for work,28,Not paying attention,15,Emergency,9,Showing off,3
Name something you might find in a child's lunchbox.,Sandwich,42,Juice box,28,Fruit,15,Chips,10,Cookie,5
Name a place where people take selfies.,Vacation spots,38,Restaurant,28,Bathroom,18,Gym,12,Party,4
Name something people do when they wake up.,Check phone,42,Use bathroom,28,Stretch,15,Brush teeth,10,Make coffee,5
Name a reason someone might move to a new city.,Job,42,Family,28,School,18,Fresh start,9,Weather,3
Name something you might find in a toolbox.,Hammer,42,Screwdriver,30,Nails,15,Tape measure,10,Wrench,3
Name a reason someone might return an item to a store.,Wrong size,40,Defective,30,Changed mind,18,Got as gift,9,Too expensive,3
Name something people do on a rainy day.,Stay inside,42,Watch movies,28,Read,15,Sleep,10,Play games,5
Name a reason someone might be late to a party.,Traffic,40,Getting ready,28,Got lost,18,Work ran late,10,Forgot time,4
Name something you might see at a zoo.,Lions,42,Elephants,28,Monkeys,18,Giraffes,9,Birds,3
Name a reason someone might join a gym.,Lose weight,42,Get healthy,28,Build muscle,18,New Year's resolution,9,Meet people,3
Name something people do on New Year's Eve.,Party,45,Count down,28,Kiss someone,15,Drink champagne,9,Watch ball drop,3
Name a reason someone might be smiling.,Happy,42,Good news,28,Joke,18,Seeing someone,9,Nervous,3
Name something you might find at a farmer's market.,Vegetables,42,Fruits,30,Honey,15,Flowers,10,Bread,3
Name a reason someone might take a break from social media.,Too much time,38,Drama,28,Mental health,20,Privacy,10,Productivity,4
Name something people bring to a potluck.,Casserole,40,Salad,28,Dessert,18,Chips,10,Drinks,4
Name a reason someone might go for a walk.,Exercise,42,Fresh air,28,Clear head,18,Walk dog,9,Bored,3
Name something you might find in a first aid kit.,Bandages,45,Medicine,28,Antiseptic,15,Gauze,9,Scissors,3
Name a reason someone might not like their neighbor.,Too loud,42,Rude,28,Messy yard,18,Nosy,9,Parking,3
Name something people do at a sleepover.,Talk,40,Watch movies,30,Play games,18,Eat snacks,9,Pillow fight,3
Name a reason someone might hire a babysitter.,Date night,42,Work,28,Errands,18,Event,9,Need break,3
Name something you might find in a desk drawer.,Pens,42,Paper,28,Stapler,15,Paperclips,10,Tape,5
Name a reason someone might complain to a manager.,Bad service,40,Wrong order,30,Rude employee,18,Long wait,9,Overcharged,3
Name something people do at a family reunion.,Eat,45,Catch up,28,Take photos,15,Play games,9,Hug,3
Name a reason someone might stay up all night.,Working,38,Partying,28,Can't sleep,18,Movie marathon,12,Studying,4
Name something you might find at a carnival.,Rides,42,Games,28,Cotton candy,15,Prizes,10,Clowns,5
Name a reason someone might get flowers.,Birthday,40,Anniversary,28,Apology,18,Valentine's Day,10,Just because,4
Name something people do when they're cold.,Put on jacket,42,Turn up heat,28,Drink hot beverage,18,Cuddle,9,Shiver,3
Name a reason someone might be laughing.,Joke,42,Funny video,28,Nervous,18,Friend,9,Memory,3
Name something you might find in a gym bag.,Clothes,42,Shoes,28,Towel,15,Water bottle,10,Deodorant,5
Name a reason someone might skip breakfast.,Running late,42,Not hungry,28,Dieting,18,Forgot,9,No food,3
Name something people do at a sporting event.,Cheer,45,Watch,28,Eat,15,Drink,9,Wave,3
Name a reason someone might buy a new phone.,Old one broke,40,Upgrade,30,Lost it,18,New features,9,Contract ended,3
Name something you might find in a grandmother's house.,Cookies,40,Photos,30,Candy,18,Doilies,9,Antiques,3
Name a reason someone might take public transit.,No car,40,Save money,28,Traffic,18,Environment,10,Parking,4
Name something people do to celebrate.,Party,42,Drink,28,Eat,18,Dance,9,Cheer,3
Name a reason someone might call in a favor.,Need help moving,40,Need ride,28,Need money,18,Job referral,10,Emergency,4
Name something you might find at a birthday party.,Cake,45,Balloons,28,Presents,15,Guests,9,Decorations,3
Name a reason someone might be yelling.,Angry,42,Excited,28,Can't hear,18,Cheering,9,Warning,3
Name something people do on a road trip.,Listen to music,40,Eat snacks,28,Play games,18,Sleep,10,Stop for gas,4
Name a reason someone might get a tattoo.,Self-expression,40,Memorial,28,Art,18,Trend,10,Drunk decision,4
Name something you might find in a waiting room.,Magazines,42,Chairs,28,TV,15,Other people,10,Coffee,5
Name a reason someone might learn a new language.,Travel,40,Work,28,Heritage,18,Partner,10,Challenge,4
Name something people do when they're embarrassed.,Blush,42,Look away,28,Laugh nervously,18,Apologize,9,Hide,3
Name a reason someone might go to bed early.,Tired,45,Work early,28,Sick,15,Avoid someone,9,Bored,3
Name something you might find in a coat pocket.,Keys,42,Phone,28,Wallet,15,Tissues,10,Change,5
Name a reason someone might take a cooking class.,Learn to cook,42,Date night,28,Hobby,18,Impress someone,9,Socialize,3
Name something people do at an amusement park.,Ride rides,45,Eat,28,Take photos,15,Win prizes,9,Wait in line,3
Name a reason someone might cancel plans.,Sick,42,Emergency,28,Too tired,18,Better offer,9,Forgot,3
Name something you might find in a glove box.,Registration,40,Insurance,30,Napkins,18,Flashlight,9,Manual,3
Name a reason someone might buy flowers for themselves.,Cheer up,40,Decoration,28,Self-care,18,On sale,10,No one else will,4
Name something people do on their commute.,Listen to music,42,Check phone,28,Sleep,15,Read,10,Drive,5
Name a reason someone might paint a room.,Moving in,40,Bored of color,28,Selling house,18,Update look,10,Damage cover,4
Name something you might find at a baby shower.,Gifts,42,Cake,30,Games,15,Balloons,10,Diapers,3
Name a reason someone might go camping.,Nature,42,Family time,28,Adventure,18,Escape city,9,Tradition,3
Name something people do when they're stuck in traffic.,Listen to music,42,Make calls,28,Get frustrated,18,Eat,9,Zone out,3
Name a reason someone might wear a hat.,Sun protection,40,Bad hair day,28,Fashion,18,Cold,10,Hide identity,4
Name something you might find in a student's backpack.,Books,42,Laptop,28,Pencils,18,Snacks,9,Phone charger,3
Name a reason someone might take a mental health day.,Stress,42,Overwhelmed,28,Burnout,18,Need break,9,Anxiety,3
Name something people do at a graduation ceremony.,Cheer,42,Take photos,28,Cry,18,Walk across stage,9,Throw caps,3
Name a reason someone might lie about their age.,Dating,40,Job application,28,Vanity,18,Get into bar,10,Discount,4
Name something you might find in a medicine cabinet.,Pills,42,Bandaids,28,Toothpaste,18,First aid,9,Vitamins,3
Name a reason someone might start a business.,Be own boss,40,Make money,30,Passion project,18,Flexibility,9,Job loss,3
Name something people do at a funeral.,Cry,42,Pay respects,28,Hug,15,Share memories,10,Pray,5
Name a reason someone might adopt a pet.,Companionship,42,Save animal,30,Kids wanted one,18,Lonely,7,Saw online,3
Name something you might find in a music store.,Instruments,45,Sheet music,28,CDs,15,Picks,9,Posters,3
Name a reason someone might go on a diet.,Lose weight,45,Health reasons,28,Event coming up,15,New Year,9,Doctor's orders,3
Name something people do when they receive good news.,Smile,42,Call someone,28,Celebrate,18,Cry,9,Jump,3
Name a reason someone might get a massage.,Stress relief,42,Sore muscles,28,Treat yourself,18,Gift,9,Injury,3
Name something you might find at a spa.,Robes,40,Candles,28,Massage table,18,Cucumber water,10,Relaxing music,4
Name a reason someone might volunteer.,Help others,42,Feel good,28,Resume,18,Meet people,9,Community,3
Name something people do at a work meeting.,Take notes,40,Present,28,Daydream,18,Talk,10,Drink coffee,4
Name a reason someone might clean their house.,Guests coming,42,Can't find things,28,Feel better,18,Dirty,9,Moving,3
Name something you might find in a jewelry box.,Rings,45,Necklaces,28,Earrings,15,Bracelets,9,Watch,3
Name a reason someone might take up gardening.,Fresh food,40,Relaxation,28,Exercise,18,Hobby,10,Beautify yard,4
Name something people do when they're homesick.,Call family,42,Look at photos,28,Cook comfort food,18,Cry,9,Visit home,3

